c1|477486895|0.36|76
c2|32529941|0.92|65
c3|669999167|0.27|92
c4|274284233|0.23|83
c5|312227264|0.29|87
c6|39015276|0.98|34
c7|828572675|0.8|61
c8|694202860|0.09|67
c9|54589847|0.75|42
c10|553160012|0.24|31
c11|139633801|0.48|79
c12|553975699|0.57|44
c13|875381640|0.91|79
c14|176367001|0.89|86
c15|876617127|0.17|43
c16|591713121|0.28|6
c17|294953508|0.05|70
c18|335917283|0.61|67
c19|773666070|0.45|63
c20|931959606|0.87|7
c21|43163918|0.36|20
c22|689646617|0.48|82
c23|643495787|0.99|69
c24|852755060|0.97|69
c25|755876434|0.64|66
c26|51855341|0.26|29
c27|467267776|0.58|30
c28|425739512|0.5|35
c29|624507632|0.34|41
c30|666145442|0.99|10
c31|899204746|0.66|35
c32|156121797|0.92|66
c33|341108297|0.54|53
c34|735750654|0.65|26
c35|18300515|0.44|39
c36|401733109|0.3|57
c37|487806319|0.58|36
c38|199203623|0.3|72
c39|296169538|0.97|99
c40|434279037|0.32|95
c41|310005856|0.25|61
c42|481816669|0.55|47
c43|191677743|0.45|64
c44|374815588|0.51|8
c45|716269726|0.7|8
c46|577243531|0.42|73
c47|143690489|0.61|25
c48|937430764|0.29|51
c49|701314254|0.09|37
c50|30300391|0.59|82
c51|828417021|0.16|26
c52|989727643|0.14|4
c53|71921102|0.2|56
c54|45158581|0.89|4
c55|301092524|0.62|12
c56|786962736|0.5|30
c57|164861015|0.32|83
c58|830126168|0.89|71
c59|631706099|0.9|34
c60|857413|0.35|87
c61|71562707|0.07|15
c62|405555352|0.54|14
c63|967840023|0.14|32
c64|265894690|0.62|73
c65|813344616|0.07|38
c66|151467047|0.31|87
c67|866298460|0.65|64
c68|109855574|0.3|82
c69|807807977|0.92|1
c70|858280053|0.83|90
c71|637582855|0.97|12
c72|647506308|0.18|83
c73|556786881|0.78|20
c74|269354113|0.65|5
c75|328962105|0.71|52
c76|480060967|0.56|44
c77|548598781|0.76|9
c78|793928332|0.31|53
c79|200701676|0.21|83
c80|156302192|0.91|39
c81|622798154|0.76|35
c82|411162829|0.89|16
c83|37067587|0.81|84
c84|381456214|0.24|92
c85|990158316|0.73|92
c86|120417259|0.59|79
c87|661746872|0.29|23
c88|86166205|0.33|27
c89|693168646|0.97|60
c90|56055568|0.47|15
c91|104937438|0.68|88
c92|470644650|0.53|71
c93|111293603|0.57|15
c94|726540474|0.23|45
c95|331699922|0.33|24
c96|704180816|0.69|25
c97|591033505|0.55|30
c98|763217852|0.06|80
c99|1753491|0.85|38
c100|622301466|0.81|81
101|344689938|0.97|93
102|709685023|0.38|83
103|570245679|0.28|76
104|828205231|0.36|78
105|715764146|0.58|62
106|524018194|0.59|77
107|536193634|0.67|32
108|293684130|0.97|41
109|538031267|0.26|26
110|386573572|0.15|67
111|645315344|0.8|21
112|921180302|0.5|46
113|106551037|1.0|76
114|207449220|0.17|90
115|118533717|0.05|16
116|697114887|0.69|90
117|84352578|0.3|9
118|89342041|0.57|49
119|964444081|0.12|20
120|151671973|0.52|25
121|744186264|0.3|71
